name,dept,area,count,adjustedcount,year,country
Abhi Shelat,Northeastern University,Computer security,1.0,0.11111,2021,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.2,2023,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.33333,2009,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.1,2018,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.125,2019,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.25,2020,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.16667,2023,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,2.0,0.58333,2011,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,2.0,0.22619,2012,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,2.0,0.45,2013,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,3.0,0.67619,2014,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.125,2015,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,3.0,0.525,2016,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,3.0,0.32222,2017,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,2.0,0.39286,2018,us
Abhinav Bhatele,University of Maryland - College Park,High-performance computing,1.0,0.33333,2019,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.5,2010,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.33333,2014,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2016,us
Abhishek Bhattacharjee,Yale University,Computer architecture,2.0,1.5,2017,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.125,2018,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2019,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.2,2020,us
Abhishek Bhattacharjee,Yale University,Computer architecture,2.0,0.5,2021,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.0625,2023,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2014,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.14286,2023,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.5,2009,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2017,us
Abhishek Bhattacharjee,Yale University,Computer architecture,3.0,0.64286,2018,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2019,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.125,2020,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.16667,2021,us
Abhishek Bhattacharjee,Yale University,Computer architecture,2.0,0.26786,2023,us
Abhishek Bhattacharjee,Yale University,Computer architecture,2.0,0.45,2012,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,1.0,2013,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2015,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,1.0,2017,us
Abhishek Bhattacharjee,Yale University,Computer architecture,1.0,0.25,2018,us
Abhishek Bhattacharjee,Yale University,Operating systems,1.0,0.16667,2021,us
Abhishek Chandra,University of Minnesota,High-performance computing,1.0,0.25,2007,us
Abhishek Chandra,University of Minnesota,High-performance computing,1.0,0.33333,2015,us
Abhishek Chandra,University of Minnesota,High-performance computing,1.0,0.33333,2016,us
Abhishek Chandra,University of Minnesota,High-performance computing,1.0,0.5,2021,us
Abhishek Chandra,University of Minnesota,Operating systems,1.0,0.25,2000,us
Abhishek Chandra,University of Minnesota,Measurement & perf. analysis,1.0,0.25,2019,us
Abhishek Dubey,Vanderbilt University,Embedded & real-time systems,1.0,0.14286,2010,us
Abhishek Gupta,University of Washington,Databases,1.0,0.25,2004,us
Abhishek Jain 0002,Johns Hopkins University,Computer security,1.0,0.33333,2014,us
Abhishek Jain 0002,Johns Hopkins University,Computer security,1.0,0.2,2017,us
Abhishek Jain 0002,Johns Hopkins University,Computer security,1.0,0.25,2022,us
Abhishek Jain 0002,Johns Hopkins University,Computer security,1.0,0.14286,2023,us
Abhradeep Thakurta,Univ. of California - Santa Cruz,Computer security,1.0,0.33333,2017,us
Abhradeep Thakurta,Univ. of California - Santa Cruz,Computer security,1.0,0.16667,2019,us
Abhradeep Thakurta,Univ. of California - Santa Cruz,Computer security,2.0,0.325,2021,us
Abhradeep Thakurta,Univ. of California - Santa Cruz,Databases,1.0,0.2,2012,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.33333,2019,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.33333,2021,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.25,2022,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.25,2016,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.25,2017,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,2.0,0.45,2019,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,2.0,0.5,2021,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.33333,2022,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,2.0,0.58333,2016,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,3.0,0.59286,2018,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.25,2019,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,2.0,0.5,2020,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,1.0,0.33333,2021,us
Abolfazl Asudeh,University of Illinois at Chicago,Databases,2.0,0.75,2022,us
Abram Hindle,University of Alberta,Software engineering,1.0,0.2,2011,canada
Abram Hindle,University of Alberta,Software engineering,1.0,0.2,2012,canada
Abram Hindle,University of Alberta,Software engineering,1.0,0.16667,2016,canada
Abram Hindle,University of Alberta,Software engineering,1.0,0.16667,2019,canada
Abtin Rahimian,University of Colorado Boulder,High-performance computing,1.0,0.083333,2010,us
Abtin Rahimian,University of Colorado Boulder,High-performance computing,1.0,0.2,2019,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2010,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2011,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.14286,2012,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,2.0,0.5,2019,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2020,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2021,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2010,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.25,2011,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.16667,2014,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.125,2015,us
Abusayeed Saifullah,Wayne State University,Embedded & real-time systems,1.0,0.16667,2019,us
Abusayeed Saifullah,Wayne State University,Mobile computing,1.0,0.16667,2016,us
Abusayeed Saifullah,Wayne State University,Mobile computing,1.0,0.16667,2017,us
Abutalib Aghayev,Pennsylvania State University,Operating systems,1.0,0.5,2015,us
Abutalib Aghayev,Pennsylvania State University,Operating systems,1.0,0.25,2017,us
Abutalib Aghayev,Pennsylvania State University,Operating systems,1.0,0.125,2022,us
Abutalib Aghayev,Pennsylvania State University,Operating systems,1.0,0.16667,2019,us
Ada Gavrilovska,Georgia Institute of Technology,Operating systems,1.0,0.33333,2016,us
Ada Gavrilovska,Georgia Institute of Technology,Operating systems,1.0,0.25,2019,us
Ada Gavrilovska,Georgia Institute of Technology,Operating systems,1.0,0.33333,2023,us
Ada Gavrilovska,Georgia Institute of Technology,Computer architecture,1.0,0.33333,2014,us
Ada Gavrilovska,Georgia Institute of Technology,High-performance computing,1.0,0.33333,2001,us
Ada Gavrilovska,Georgia Institute of Technology,High-performance computing,1.0,0.25,2018,us
Ada Gavrilovska,Georgia Institute of Technology,High-performance computing,1.0,0.2,2019,us
Ada Gavrilovska,Georgia Institute of Technology,Computer architecture,1.0,0.25,2017,us
Ada Gavrilovska,Georgia Institute of Technology,Databases,1.0,0.25,2017,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.2,2021,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.25,1995,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.2,2005,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.5,2010,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.2,2016,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.25,1991,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.5,1994,us
Adam A. Porter,University of Maryland - College Park,Software engineering,3.0,0.73333,1997,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.2,1998,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.33333,2000,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.5,2002,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.16667,2004,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.14286,2005,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.2,2010,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.33333,2012,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.33333,2004,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.25,2008,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.33333,2009,us
Adam A. Porter,University of Maryland - College Park,Software engineering,1.0,0.25,2011,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.14286,2014,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.25,2016,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,2.0,0.225,2018,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.16667,2019,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.25,2020,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.16667,2021,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Measurement & perf. analysis,1.0,0.2,2014,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.16667,2012,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.2,2014,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,2.0,0.45,2018,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.14286,2019,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,4.0,0.73571,2020,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.14286,2022,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.25,2023,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.16667,2018,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,1.0,0.33333,2020,us
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,Computer security,2.0,0.27778,2023,us
Adam Belay,Massachusetts Institute of Technology,Operating systems,1.0,0.33333,2022,us
Adam Belay,Massachusetts Institute of Technology,Computer networks,2.0,0.36667,2019,us
Adam Belay,Massachusetts Institute of Technology,Computer networks,3.0,0.525,2023,us
Adam Belay,Massachusetts Institute of Technology,Computer security,1.0,0.2,2014,us
Adam Belay,Massachusetts Institute of Technology,Operating systems,1.0,0.16667,2012,us
Adam Belay,Massachusetts Institute of Technology,Operating systems,1.0,0.16667,2014,us
Adam Belay,Massachusetts Institute of Technology,Operating systems,4.0,0.83333,2020,us
Adam Belay,Massachusetts Institute of Technology,Operating systems,1.0,0.2,2019,us
Adam Chlipala,Massachusetts Institute of Technology,Computer architecture,1.0,0.2,2021,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2006,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2008,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.2,2009,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2013,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2015,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.2,2017,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.5,2018,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.2,2019,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2021,us
Adam Chlipala,Massachusetts Institute of Technology,Software engineering,1.0,0.2,2004,us
Adam Chlipala,Massachusetts Institute of Technology,Computer security,1.0,0.2,2019,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.33333,2014,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.33333,2017,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.14286,2022,us
Adam Chlipala,Massachusetts Institute of Technology,Operating systems,1.0,1.0,2010,us
Adam Chlipala,Massachusetts Institute of Technology,Operating systems,1.0,0.2,2014,us
Adam Chlipala,Massachusetts Institute of Technology,Operating systems,1.0,0.2,2018,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2007,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2010,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2011,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.25,2020,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.2,2021,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.2,2022,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.083333,2023,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,1.0,2010,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,3.0,2.25,2015,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.33333,2016,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,1.0,0.5,2017,us
Adam Chlipala,Massachusetts Institute of Technology,Programming languages,2.0,0.58333,2022,us
Adam Chlipala,Massachusetts Institute of Technology,Operating systems,1.0,0.16667,2015,us
Adam Chlipala,Massachusetts Institute of Technology,Operating systems,1.0,0.125,2017,us
Adam D. Smith,Boston University,Computer security,1.0,0.33333,2017,us
